Accession,Virus Name,Publication Date,Host,Taxonomy ID,Zoonotic Potential
KM043091,Soprano pipistrelle adenovirus 2 strain 176/09 DNA polymerase,24-Aug-2018,Pipistrellus pygmaeus (soprano pipistrelle),1530303,FALSE
KM043067,Lesser noctule adenovirus 1 strain 239/08 IVa2,24-Aug-2018,Nyctalus leisleri (lesser noctule),1530294,FALSE
KM043102,Lesser noctule adenovirus 1 strain 239/08 DNA polymerase,24-Aug-2018,Nyctalus leisleri (lesser noctule),1530294,FALSE
KM043061,Mediterranean horseshoe bat adenovirus 1 strain BS12 IVa2,24-Aug-2018,Rhinolophus euryale (Mediterranean horseshoe bat),1530278,FALSE
KM043079,Mediterranean horseshoe bat adenovirus 1 strain BS12 DNA polymerase,24-Aug-2018,Rhinolophus euryale (Mediterranean horseshoe bat),1530278,FALSE
KM043073,Serotine bat adenovirus 2 strain 492/08 IVa2,24-Aug-2018,Eptesicus serotinus (serotine bat),1530301,FALSE
KM043107,Vespertilionid adenovirus 4 strain 492/08 DNA polymerase,24-Aug-2018,Eptesicus serotinus (serotine bat),3071314,FALSE
KT369211,Unidentified adenovirus isolate SK/13YF16 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369212,Unidentified adenovirus isolate SK/13YF14 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369213,Unidentified adenovirus isolate SK/13YF119 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369214,Unidentified adenovirus isolate SK/13YF128 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369215,Unidentified adenovirus isolate SK/13YF149 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369216,Unidentified adenovirus isolate SK/13YF166 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369217,Unidentified adenovirus isolate SK/13YF181 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369218,Unidentified adenovirus isolate SK/13YF186 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369219,Unidentified adenovirus isolate SK/13YF206 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369220,Unidentified adenovirus isolate SK/13YF207 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369221,Unidentified adenovirus isolate SK/13YF216 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369222,Unidentified adenovirus isolate SK/13YF224 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369223,Unidentified adenovirus isolate SK/13YF225 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369224,Unidentified adenovirus isolate SK/13YF229 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369225,Unidentified adenovirus isolate SK/13YF230 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369226,Unidentified adenovirus isolate SK/13YF231 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369227,Unidentified adenovirus isolate SK/13YF242 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369228,Unidentified adenovirus isolate SK/13YF245 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369229,Unidentified adenovirus isolate SK/13YF247 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369230,Unidentified adenovirus isolate SK/13YF141 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369231,Unidentified adenovirus isolate SK/13YF133 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369232,Unidentified adenovirus isolate SK/13YF105 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369233,Unidentified adenovirus isolate SK/13YF33 DNA polymerase,20-Mar-2016,Scotophilus kuhlii,10535,TRUE
KT369234,Unidentified adenovirus isolate CS/11HN70 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369235,Unidentified adenovirus isolate MR/11HZ9 DNA polymerase,20-Mar-2016,Myotis ricketti,10535,TRUE
KT369236,Unidentified adenovirus isolate MR/11HZ10 DNA polymerase,20-Mar-2016,Myotis ricketti,10535,TRUE
KT369237,Unidentified adenovirus isolate EM/11HZ76 DNA polymerase,20-Mar-2016,Taphozous melanopogon,10535,TRUE
KT369238,Unidentified adenovirus isolate CS/13HN70 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369239,Unidentified adenovirus isolate CS/13HN74 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369240,Unidentified adenovirus isolate CS/13HN75 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369241,Unidentified adenovirus isolate CS/13HN77 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369242,Unidentified adenovirus isolate CS/13HN101 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369243,Unidentified adenovirus isolate CS/13HN81 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369244,Unidentified adenovirus isolate CS/13HN83 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT369245,Unidentified adenovirus isolate CS/13HN85 DNA polymerase,20-Mar-2016,Cynopterus sphinx,10535,TRUE
KT698854,"Bat mastadenovirus WIV10, complete genome.",14-Apr-2016,Rhinolophus sinicus,1788432,FALSE
KT698853,"Bat mastadenovirus WIV9, complete genome.",14-Apr-2016,Rhinolophus sinicus,1788436,FALSE
KT698855,"Bat mastadenovirus WIV11, complete genome.",14-Apr-2016,Rhinolophus sinicus,1788433,FALSE
KT698852,"Bat mastadenovirus WIV13, complete genome.",31-Aug-2016,Miniopterus schreibersi,1788435,FALSE
KT698856,"Bat mastadenovirus WIV12, complete genome.",31-Aug-2016,Miniopterus schreibersi,1788434,FALSE
KX774295,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0382 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774296,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0348 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774297,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0376 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774298,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0287 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774299,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0295 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774300,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0359 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774301,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0314 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774302,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0357 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774303,"Desmodus rotundus Adenovirus 1 isolate DrAdV1/PGT-0342 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905319,FALSE
KX774304,"Desmodus rotundus Adenovirus 2 isolate DrAdV2/PGT-0320 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905320,FALSE
KX774305,"Desmodus rotundus Adenovirus 2 isolate DrAdV2/PGT-0343 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905320,FALSE
KX774306,"Desmodus rotundus Adenovirus 2 isolate DrAdV2/PGT-0318 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905320,FALSE
KX774307,"Desmodus rotundus Adenovirus 2 isolate DrAdV2/PGT-0342 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905320,FALSE
KX774308,"Desmodus rotundus Adenovirus 2 isolate DrAdV2/PGT-0321 DNA polymerase gene, partial cds.",04-Oct-2016,Desmodus rotundus,1905320,FALSE
KY009635,Bat adenovirus strain C017/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009636,Bat adenovirus strain C026/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009637,Bat adenovirus strain C055/China/2015 DNA polymerase,18-Feb-2017,Eptesicus serotinus,740971,FALSE
KY009638,Bat adenovirus strain C008/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009639,Bat adenovirus strain C063/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009640,Bat adenovirus strain C032/China/2015 DNA polymerase,18-Feb-2017,Myotis ricketti,740971,FALSE
KY009641,Bat adenovirus strain C057/China/2015 DNA polymerase,18-Feb-2017,Eptesicus serotinus,740971,FALSE
KY009642,Bat adenovirus strain C067/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009643,Bat adenovirus strain C084/China/2015 DNA polymerase,18-Feb-2017,Myotis pequinius,740971,FALSE
KY009644,Bat adenovirus strain C015/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009645,Bat adenovirus strain C049/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009646,Bat adenovirus strain C064/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009647,Bat adenovirus strain C031/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009648,Bat adenovirus strain C050/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009649,Bat adenovirus strain C052/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009650,Bat adenovirus strain C025/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009651,Bat adenovirus strain C066/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009652,Bat adenovirus strain C101/China/2015 DNA polymerase,18-Feb-2017,Myotis pequinius,740971,FALSE
KY009653,Bat adenovirus strain C100/China/2015 DNA polymerase,18-Feb-2017,Myotis pequinius,740971,FALSE
KY009654,Bat adenovirus strain C013/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009655,Bat adenovirus strain C033/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009656,Bat adenovirus strain C022/China/2015 DNA polymerase,18-Feb-2017,Myotis pequinius,740971,FALSE
KY009657,Bat adenovirus strain C099/China/2015 DNA polymerase,18-Feb-2017,Myotis pequinius,740971,FALSE
KY009658,Bat adenovirus strain C018/China/2015 DNA polymerase,18-Feb-2017,Myotis ricketti,740971,FALSE
KY009659,Bat adenovirus strain C051/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009660,Bat adenovirus strain C069/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY009661,Bat adenovirus strain C002/China/2015 DNA polymerase,18-Feb-2017,Myotis ricketti,740971,FALSE
KY009662,Bat adenovirus strain C001/China/2015 DNA polymerase,18-Feb-2017,Myotis ricketti,740971,FALSE
KY009663,Bat adenovirus strain C029/China/2015 DNA polymerase,18-Feb-2017,Myotis fimbriatus,740971,FALSE
KY311885,"Bat adenovirus isolate BAT0001/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311886,"Bat adenovirus isolate BAT0003/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311887,"Bat adenovirus isolate BAT0006/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311888,"Bat adenovirus isolate BAT0024/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Hipposideros caffer,740971,FALSE
KY311889,"Bat adenovirus isolate BAT0025/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311890,"Bat adenovirus isolate BAT0026/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311891,"Bat adenovirus isolate BAT0027/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311892,"Bat adenovirus isolate BAT0028/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311893,"Bat adenovirus isolate BAT0029/Kwale DNA polymerase gene, partial cds.",17-Apr-2017,Rousettus aegyptiacus,740971,FALSE
KY311894,"Bat adenovirus isolate BAT0062/Kisii DNA polymerase gene, partial cds.",17-Apr-2017,Eidolon helvum,740971,FALSE
KY311895,"Bat adenovirus isolate BAT0066/Kisii DNA polymerase gene, partial cds.",17-Apr-2017,Eidolon helvum,740971,FALSE
KY311896,"Bat adenovirus isolate BAT0068/Kisii DNA polymerase gene, partial cds.",17-Apr-2017,Eidolon helvum,740971,FALSE
KY311897,"Bat adenovirus isolate BAT0084/Kisii DNA polymerase gene, partial cds.",17-Apr-2017,Eidolon helvum,740971,FALSE
KY311898,"Bat adenovirus isolate BAT0085/Kisii DNA polymerase gene, partial cds.",17-Apr-2017,Eidolon helvum,740971,FALSE
KY311899,"Bat adenovirus isolate BAT0186/Migori DNA polymerase gene, partial cds.",17-Apr-2017,Coleura afra,740971,FALSE
KY311900,"Bat adenovirus isolate BAT0751/Kericho DNA polymerase gene, partial cds.",17-Apr-2017,Miniopterus minor,740971,FALSE
KY311901,"Bat adenovirus isolate BAT0854/Kajiado DNA polymerase gene, partial cds.",17-Apr-2017,Otomops martiensseni,740971,FALSE
